user_id,name,email,total_spent,orders_count
405,Robert Hall,amyjones@yahoo.com,13643.63,6
239,Michelle Campbell,tiffanysmith@hotmail.com,13368.93,6
93,Linda Holmes DVM,jesseshepherd@gmail.com,13253.44,4
242,Raymond George,john76@yahoo.com,12795.28,4
498,Alexander Wright,juliethomas@hotmail.com,10830.67,4
483,Jeanne Williams,vanessaflores@yahoo.com,10426.24,3
56,Selena Hernandez,aguilarjonathan@gmail.com,10214.470000000001,4
226,Donald Ford,luis72@yahoo.com,9792.18,4
383,Daniel Murphy,yramos@gmail.com,9767.0,5
189,Lucas Payne,josepholson@gmail.com,9736.73,5
